image,height,width,type,original_dataset,scenario,airport,runway,time_to_landing,weather,night,time,slant_distance,along_track_distance,height_above_runway,lateral_path_angle,vertical_path_angle,yaw,pitch,roll,x_A,y_A,x_B,y_B,x_C,y_C,x_D,y_D,watermark_height,image_name,detected
images/CYUL_06L_35_09.jpeg,2048,2448,earth_studio,LARD_test_synth,CYUL_06L_35,CYUL,06L,,,,2020-04-01 18:01:01,1.93,1.92,550.72,-0.28,2.49,42.791840936271214,84.8589889064664,3.4871304952424813,1113,1348,1142,1349,1111,1426,1169,1428,300.0,CYUL_06L_35_09.jpeg,True
images/CYUL_06L_35_10.jpeg,2048,2448,earth_studio,LARD_test_synth,CYUL_06L_35,CYUL,06L,,,,2020-04-01 17:01:01,1.77,1.76,595.16,0.33,2.91,34.312226377301506,87.24603069292709,2.458953458562585,1465,1323,1495,1330,1408,1408,1470,1423,300.0,CYUL_06L_35_10.jpeg,True
images/CYUL_06L_35_11.jpeg,2048,2448,earth_studio,LARD_test_synth,CYUL_06L_35,CYUL,06L,,,,2020-05-01 20:00:01,1.56,1.56,492.01,0.15,2.69,40.633064111643854,86.08464913430332,-3.2246184643457463,680,1476,647,1481,703,1570,630,1581,300.0,CYUL_06L_35_11.jpeg,True
images/CYUL_06L_35_12.jpeg,2048,2448,earth_studio,LARD_test_synth,CYUL_06L_35,CYUL,06L,,,,2020-05-01 19:01:01,1.26,1.25,426.98,0.34,2.84,41.113451318466616,87.40224247787008,5.962504379898668,964,1250,1000,1253,902,1360,992,1365,300.0,CYUL_06L_35_12.jpeg,True
images/CYUL_06L_35_13.jpeg,2048,2448,earth_studio,LARD_test_synth,CYUL_06L_35,CYUL,06L,,,,2020-07-01 17:00:01,1.22,1.22,465.05,0.25,3.16,46.62143841831947,87.51039303483634,2.846029277133793,1604,1083,1640,1086,1542,1205,1634,1215,300.0,CYUL_06L_35_13.jpeg,True
images/CYUL_06L_35_14.jpeg,2048,2448,earth_studio,LARD_test_synth,CYUL_06L_35,CYUL,06L,,,,2020-07-01 19:00:01,1.0,1.0,373.7,-0.6,3.03,42.13794914385881,86.5084251224656,-1.5106142626043648,1250,1032,1211,1038,1369,1150,1257,1168,300.0,CYUL_06L_35_14.jpeg,True
images/CYUL_06L_35_15.jpeg,2048,2448,earth_studio,LARD_test_synth,CYUL_06L_35,CYUL,06L,,,,2020-06-01 19:00:01,0.81,0.81,310.83,1.15,3.0,39.17023631727707,87.27801987201816,7.92974431741742,1098,1183,1056,1184,1007,1333,868,1336,300.0,CYUL_06L_35_15.jpeg,True
images/CYUL_06L_35_16.jpeg,2048,2448,earth_studio,LARD_test_synth,CYUL_06L_35,CYUL,06L,,,,2020-06-01 17:01:01,0.81,0.81,335.14,-0.38,3.25,37.998514294505256,84.15400904869631,0.6522016512588076,1307,1261,1266,1263,1412,1417,1273,1424,300.0,CYUL_06L_35_16.jpeg,True
images/CYUL_06L_35_17.jpeg,2048,2448,earth_studio,LARD_test_synth,CYUL_06L_35,CYUL,06L,,,,2020-08-01 18:00:01,0.76,0.76,243.59,1.23,2.49,42.0629508706858,91.4588381096593,1.5882808729823266,1375,1135,1418,1136,1156,1256,1304,1260,300.0,CYUL_06L_35_17.jpeg,True
images/CYUL_06L_35_18.jpeg,2048,2448,earth_studio,LARD_test_synth,CYUL_06L_35,CYUL,06L,,,,2020-06-01 18:01:01,0.68,0.68,277.86,-0.21,3.09,44.41799815735154,89.08806137900947,-1.872568674160975,1024,1069,1068,1075,976,1231,1140,1250,300.0,CYUL_06L_35_18.jpeg,True
